Question,Difficulty,Category,Correct,Wrong,Wrong,Wrong
Ποια χώρα κέρδισε το FIFA World Cup το 2018;,2,1,Γαλλία,Κροατία,Βραζιλία,Γερμανία
Ποιος είναι ο πρώτος σκόρερ στην ιστορία των Παγκοσμίων Κυπέλλων;,3,1,Μιροσλάβ Κλόζε,Ρονάλντο,Πελέ,Λιονέλ Μέσι
Ποια ομάδα κέρδισε το UEFA Euro 2016;,2,1,Πορτογαλία,Γαλλία,Ισπανία,Γερμανία
Ποιος παίκτης έχει τα περισσότερα γκολ σε ένα Euro;,3,1,Μισέλ Πλατινί,Κριστιάνο Ρονάλντο,Άντι Κόουλ,Γκέρι Λίνεκερ
Ποιο NBA team έχει τις περισσότερες κατακτήσεις τίτλων;,3,1,Boston Celtics,Los Angeles Lakers,Chicago Bulls,San Antonio Spurs
Ποιος παίκτης έχει τα περισσότερα NBA MVPs;,3,1,Κάριμ Αμπντούλ Τζαμπάρ,ΛεΜπρόν Τζέιμς,Μάικλ Τζόρνταν,Ματζίκ Τζόνσον
Ποια ομάδα κέρδισε το Champions League 2022-2023;,1,1,Manchester City,Real Madrid,Bayern Munich,Liverpool
Ποιος είναι ο πρώτος σκόρερ στην ιστορία του Champions League;,2,1,Κριστιάνο Ρονάλντο,Λιονέλ Μέσι,Ραούλ,Ζλάταν Ιμπραΐμοβιτς
Ποια ομάδα κατέκτησε τη Super League Ελλάδα 2022-2023;,1,1,Ολυμπιακός,ΠΑΟΚ,ΑΕΚ,Παναθηναϊκός
Ποιος είναι ο πρώτος σκόρερ στην ιστορία της Super League;,2,1,Ντίνος Δουρέκας,Κώστας Νικολαΐδης,Θεόδωρος Κόλλιας,Γιώργος Σιδέρης
Ποια χώρα κέρδισε το FIFA World Cup 2014;,2,1,Γερμανία,Αργεντινή,Βραζιλία,Ιταλία
Ποιος είναι ο πρώτος σκόρερ στην ιστορία των Ολυμπιακών Αγώνων ποδοσφαίρου;,2,1,Πελέ,Μισέλ Πλατινί,Κριστιάνο Ρονάλντο,Λιονέλ Μέσι
Ποια χώρα κέρδισε το Euro 2020 (2021);,2,1,Ιταλία,Αγγλία,Ισπανία,Γαλλία
Ποιος παίκτης κέρδισε το Χρυσό Παπούτσι στο Euro 2020;,2,1,Κριστιάνο Ρονάλντο,Χάρι Κέιν,Ραχίμ Στέρλινγκ,Κιλιάν Εμπαπέ
Ποιο NBA team κατέκτησε το πρωτάθλημα 2022-2023;,2,1,Denver Nuggets,Miami Heat,Golden State Warriors,Boston Celtics
Ποιος παίκτης έχει τα περισσότερα triple-doubles στην ιστορία του NBA;,3,1,Ράσελ Ουέστμπρουκ,Όσκαρ Ρόμπερτσον,ΛεΜπρόν Τζέιμς,Μάτζικ Τζόνσον
Ποια ομάδα κατέκτησε την EuroLeague 2022-2023;,1,1,Real Madrid,Olympiacos,CSKA Moscow,Barcelona
Ποιος παίκτης έχει τα περισσότερα τρίποντα στην ιστορία της EuroLeague;,3,1,Vassilis Spanoulis,Nikos Galis,Juan Carlos Navarro,Šarūnas Jasikevičius
Ποια χώρα κέρδισε το FIFA World Cup 2006;,2,1,Ιταλία,Γερμανία,Βραζιλία,Αργεντινή
Ποιος παίκτης κέρδισε τη Χρυσή Μπάλα 2022;,3,1,Λιονέλ Μέσι,Κριστιάνο Ρονάλντο,Κιλιάν Εμπαπέ,Νεϊμάρ
Ποια ομάδα κατέκτησε το Champions League 2020-2021;,1,1,Chelsea,Manchester City,Real Madrid,Bayern Munich
Ποιος είναι ο πρώτος σκόρερ της Super League 2022-2023;,2,1,Γιουσέφ Ελ Αραμπί,Αλβαρό Ντίας,Βαλμπουενά,Μασούρας
Ποιο NBA team έχει τα περισσότερα All-Star appearances;,3,1,Boston Celtics,Los Angeles Lakers,Chicago Bulls,Philadelphia 76ers
Ποιος είναι ο πρώτος σκόρερ σε ένα μόνο Παγκόσμιο Κύπελλο;,3,1,Σάντερ Γέβεν,Μίροσλαβ Κλόζε,Ρονάλντο,Πελέ
Ποια χώρα κέρδισε το UEFA Euro 2004;,1,1,Ελλάδα,Πορτογαλία,Ισπανία,Ιταλία
Ποιος παίκτης έχει τα περισσότερα εύστοχα τρίποντα στην ιστορία του NBA;,3,1,Στεφ Κάρι,Ρέι Άλεν,Κλέι Τόμπσον,ΛεΜπρόν Τζέιμς
Ποια ομάδα κέρδισε την EuroLeague 2021-2022;,1,1,Real Madrid,CSKA Moscow,Barcelona,Olympiacos
Ποιος Έλληνας παίκτης έχει τις περισσότερες συμμετοχές σε EuroLeague;,2,1,Βασίλης Σπανούλης,Νίκος Γκάλης,Θανάσης Παπανικολάου,Γιώργος Σιγάλας
Ποια χώρα κέρδισε το FIFA World Cup 1998;,3,1,Γαλλία,Βραζιλία,Ιταλία,Γερμανία
Ποιος ήταν πρώτος σκόρερ στο FIFA World Cup 2014;,3,1,Τόμας Μίλερ,Λιονέλ Μέσι,Κριστιάνο Ρονάλντο,Τζέιμι Βάρντι
Ποια ομάδα κατέκτησε τη Super League Ελλάδα 2021-2022;,2,1,Ολυμπιακός,Παναθηναϊκός,ΠΑΟΚ,ΑΕΚ
