Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Ποια ταινία του 1990 είχε το soundtrack που έγινε το soundtrack με τις μεγαλύτερες πωλήσεις όλων των εποχών;,2,3,The Bodyguard,Home Alone,Titanic,Forrest Gump
"Ποιος ηθοποιός υποδύθηκε τον Kevin McCallister στην ταινία ""Home Alone"" (1990);",1,3,Μακόλεϊ Κάλκιν,Τζο Πέσι,Ντάνιελ Στερν,Τζον Χερντ
"Ποια σειρά ξεκινούσε με το αναγνωρίσιμο τραγούδι ""I'll Be There for You"";",1,3,Friends,Seinfeld,Frasier,Saved by the Bell
Ποια ήταν η ταινία με τις μεγαλύτερες εισπράξεις της δεκαετίας του '90;,2,3,Titanic,The Matrix,Forrest Gump,Independence Day
"Ποια ταινία του 1994 περιέχει τη διάσημη ατάκα ""Η ζωή είναι σαν ένα κουτί σοκολάτες"";",2,3,Forrest Gump,Pulp Fiction,The Shawshank Redemption,Ace Ventura
"Ποιος είπε ""Είμαι ο βασιλιάς του κόσμου!"" και σε ποια ταινία;",2,3,Λεονάρντο Ντι Κάπριο στο Titanic,Τομ Κρουζ στο Jerry Maguire,Γουίλ Σμιθ στο Independence Day,Κιάνου Ριβς στο The Matrix
Ποια ταινία του 1999 με τον Κιάνου Ριβς ακολουθεί έναν χάκερ που ανακαλύπτει την αληθινή φύση της πραγματικότητας;,2,3,The Matrix,Johnny Mnemonic,Speed,Point Break
Ποια δημοφιλής σειρά  που διαδραματίζεται στο Μανχάταν  έκανε πρεμιέρα στις 22 Σεπτεμβρίου 1994;,2,3,Friends,Seinfeld,Frasier,ER
"Ποιος υποδύθηκε τον Captain Steven Hiller στην ταινία ""Independence Day"" (1996);",3,3,Γουίλ Σμιθ,Τζεφ Γκόλντμπλουμ,Μπιλ Πούλμαν,Ράντυ Κουέιντ
Ποια ταινία του 1993 με τον Μπιλ Μάρεϊ ακολουθεί έναν παρουσιαστή καιρού που ξαναζεί την ίδια μέρα ξανά και ξανά;,2,3,Groundhog Day,Scrooged,What About Bob?,Ghostbusters
Ποια ταινία του 1995 με την Αλίσια Σίλβερστοουν ακολουθεί μια πλούσια μαθήτρια λυκείου που προσπαθεί να βελτιώσει τη ζωή των γύρω της;,2,3,Clueless,Legally Blonde,10 Things I Hate About You,Mean Girls
Ποια σειρά της δεκαετίας του '90 είχε ως πρωταγωνιστή τον Τζέρι Σάινφελντ σε μια μυθοπλασία του εαυτού του;,1,3,Seinfeld,Friends,Frasier,Curb Your Enthusiasm
"Ποια ταινία του 1999 με πρωταγωνιστή τον Μπρους Γουίλις περιέχει τη διάσημη ατάκα ""Βλέπω νεκρούς ανθρώπους"";",2,3,The Sixth Sense,Pulp Fiction,The Matrix,Fight Club
"Ποια ταινία του 1992 με τον Τομ Κρουζ περιέχει τη διάσημη ατάκα ""Δεν αντέχεις την αλήθεια!"";",2,3,A Few Good Men,Jerry Maguire,Top Gun,Rain Man
Ποια ταινία βασισμένη στην ομώνυμη σειρά της δεκαετίας του '60 κυκλοφόρησε το 1996 με πρωταγωνιστή τον Τομ Κρουζ;,1,3,Mission: Impossible,The Firm,Interview with the Vampire,Eyes Wide Shut
"Ποιος υποδύθηκε τον χαρακτήρα Cher στην ταινία ""Clueless"" (1995);",3,3,Αλίσια Σίλβερστοουν,Ρέιτσελ Γουάις,Σάρα Μισέλ Γκέλαρ,Κίρστεν Ντανστ
Σε ποια σειρά της δεκαετίας του '90 ο Ρος Γκέλερ έχει ένα καπουτσίνο μαϊμού που ονομάζεται Μάρσελ;,2,3,Friends,Seinfeld,Frasier,The Nanny
Ποια σειρά της δεκαετίας του '90 διαδραματιζόταν σε μια φανταστική πόλη που ονομαζόταν Sunnydale;,2,3,Buffy the Vampire Slayer,Charmed,Dawson's Creek,The X-Files
Ποια ταινία του 1994 της Disney αφηγείται την ιστορία του Σίμπα  ενός νεαρού λιονταριού που πρέπει να διεκδικήσει το βασίλειό του;,1,3,The Lion King,Aladdin,Beauty and the Beast,The Little Mermaid
Ποια ταινία του 1991 με τον Κέβιν Κόστνερ αφηγείται την ιστορία ενός παράνομου που πολεμά τον Σερίφη του Νότιγχαμ;,2,3,Robin Hood: Prince of Thieves,Dances with Wolves,The Bodyguard,Waterworld
Ποιο τραγούδι των Nirvana θεωρείται συχνά ο ύμνος του κινήματος grunge;,2,3,Smells Like Teen Spirit,Come As You Are,Lithium,Heart-Shaped Box
"Ποιο γυναικείο συγκρότημα της δεκαετίας του '90 είχε μια επιτυχία με τίτλο ""Wannabe"";",2,3,Spice Girls,TLC,Destiny's Child,The Pussycat Dolls
Ποια ταινία του 1995 είχε την πρώτη πλήρως υπολογιστική κινούμενη εικόνα και έλαβε Έπαινο Ειδικού Επιτεύγματος από την Ακαδημία;,3,3,Toy Story,Antz,A Bug's Life,The Lion King
Ποια ταινία με πρωταγωνιστή τον Γουίλ Σμιθ ως έναν έφηβο από το West Philadelphia έγινε δημοφιλής σειρά στις αρχές της δεκαετίας του '90;,2,3,The Fresh Prince of Bel-Air,Saved by the Bell,Full House,Family Matters
"Ποια σειρά της δεκαετίας του '90 είχε έναν χαρακτήρα που ονομαζόταν ""Football Head"";",3,3,Hey Arnold!,Doug,Rugrats,The Ren & Stimpy Show
Ποια ταινία του 1997 σε σκηνοθεσία Τζέιμς Κάμερον αφηγείται την ιστορία του μοιραίου παρθενικού ταξιδιού του RMS Τιτανικού;,3,3,Titanic,The Abyss,Avatar,True Lies
Ποια ταινία είχε το ρεκόρ εισπράξεων άνω του 1 δισεκατομμυρίου δολαρίων παγκοσμίως το 1997;,2,3,Titanic,The Lost World: Jurassic Park,Men in Black,The Fifth Element
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Μακόλεϊ Κάλκιν του απέφερε 1 εκατομμύριο δολάρια;,3,3,My Girl,Home Alone,Home Alone 2,The Good Son
