Question,Difficulty,Category,Correct,Wrong,Wrong,Wrong
Ποιος ήταν ο πρώτος βασιλιάς της Ελλάδας;,2,2,Όθωνας,Κωνσταντίνος Α',Γεώργιος Α',Αλέξανδρος Α'
Σε ποιο έτος ανακηρύχθηκε η ανεξαρτησία της Ελλάδας;,1,2,1821,1820,1830,1810
Ποιος ήταν ο ηγέτης της Επανάστασης του 1821 στη Μάνη;,1,2,Παλαιών Πατρών Γερμανός,Θεόδωρος Κολοκοτρώνης,Γεώργιος Καραϊσκάκης,Κωνσταντίνος Κανάρης
Ποιο γεγονός ξεκίνησε τον Α’ Παγκόσμιο Πόλεμο;,2,2,Η δολοφονία του Αρχιδούκα Φραγκίσκου Φερδινάνδου,Η επίθεση στο Περλ Χάρμπορ,Η Συνθήκη των Βερσαλλιών,Η πτώση της Βαστίλης
Ποιο ήταν το κύριο μέτωπο του Β’ Παγκοσμίου Πολέμου στην Ευρώπη;,3,2,Η Δυτική Ευρώπη,Η Αφρική,Η Ασία,Η Νότια Αμερική
Ποιος ήταν ο πρώτος Πρόεδρος των Η.Π.Α.;,3,2,Τζορτζ Ουάσινγκτον,Αβραάμ Λίνκολν,Τόμας Τζέφερσον,Μπενζαμίν Φράνκλιν
Σε ποιον αιώνα έγινε η Γαλλική Επανάσταση;,2,2,18ος αιώνας,17ος αιώνας,19ος αιώνας,20ος αιώνας
Ποιοι λαοί ήταν οι κύριοι αντίπαλοι στη μάχη του Μαραθώνα;,2,2,Έλληνες και Πέρσες,Έλληνες και Ρωμαίοι,Αιγύπτιοι και Έλληνες,Σπαρτιάτες και Θηβαίοι
Ποιος ήταν ο Μέγας Αλέξανδρος;,1,2,Βασιλιάς της Μακεδονίας,Φιλόσοφος,Ρωμαίος Αυτοκράτορας,Αιγύπτιος Φαραώ
Ποιο γεγονός σηματοδοτεί το τέλος της Ρωμαϊκής Αυτοκρατορίας;,3,2,Η πτώση της Ρώμης το 476 μ.Χ.,Η δολοφονία του Ιουλίου Καίσαρα,Η μάχη του Αουστερλίτς,Η σταύρωση του Ιησού
Ποια χώρα ανακάλυψε την Αμερική το 1492;,2,2,Ισπανία,Πορτογαλία,Αγγλία,Γαλλία
