Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Ποια ήταν η αφορμή του Α' Παγκοσμίου Πολέμου;,1,2,Η δολοφονία του αρχιδούκα Φραγκίσκου Φερδινάνδου,Η βύθιση του Τιτανικού,Η Ρωσική Επανάσταση,Η Συνθήκη των Βερσαλλιών
Πότε ξεκίνησε ο Α' Παγκόσμιος Πόλεμος;,1,2,1914,1912,1916,1918
Πότε έληξε ο Α' Παγκόσμιος Πόλεμος;,1,2,1918,1917,1919,1920
Ποια συμμαχία ανήκε η Γαλλία;,1,2,Αντάντ,Κεντρικές Δυνάμεις,Άξονας,ΝΑΤΟ
Ποια χώρα ηγήθηκε των Κεντρικών Δυνάμεων;,1,2,Γερμανία,Γαλλία,ΗΠΑ,Ρωσία
Ποιος δολοφονήθηκε στο Σαράγεβο;,1,2,Φραγκίσκος Φερδινάνδος,Κάιζερ Γουλιέλμος Β',Ουίνστον Τσώρτσιλ,Νικόλαος Β'
Ποια χώρα εισήλθε στον πόλεμο το 1917 υπέρ της Αντάντ;,1,2,ΗΠΑ,Ισπανία,Ελβετία,Σουηδία
Ποιο νέο όπλο χρησιμοποιήθηκε ευρέως;,1,2,Δηλητηριώδη αέρια,Πυρηνικά,Πύραυλοι,Drones
Πού διεξήχθη η Μάχη του Βερντέν;,2,2,Γαλλία,Βέλγιο,Γερμανία,Ιταλία
Ποιο σχέδιο προέβλεπε γρήγορη γερμανική νίκη μέσω Βελγίου;,2,2,Σχέδιο Σλήφεν,Σχέδιο Μάρσαλ,Σχέδιο Νορμανδία,Σχέδιο Μπαρμπαρόσα
Ποια αυτοκρατορία διαλύθηκε μετά τον πόλεμο;,2,2,Αυστροουγγρική,Βρετανική,Ιαπωνική,Πορτογαλική
Ποια συνθήκη τερμάτισε επίσημα τον πόλεμο με τη Γερμανία;,2,2,Συνθήκη των Βερσαλλιών,Συνθήκη της Ρώμης,Συνθήκη του Μάαστριχτ,Συνθήκη των Σεβρών
Ποιο ήταν το κυρίαρχο είδος πολέμου στο δυτικό μέτωπο;,2,2,Πόλεμος χαρακωμάτων,Ναυμαχίες,Αερομαχίες μόνο,Ανταρτοπόλεμος
Ποια μάχη θεωρείται από τις πιο αιματηρές;,2,2,Μάχη του Σομμ,Μάχη του Μαραθώνα,Στάλινγκραντ,Ελ Αλαμέιν
Ποιος ήταν ο τελευταίος τσάρος της Ρωσίας;,2,2,Νικόλαος Β',Αλέξανδρος Α',Ιβάν Δ',Πέτρος Γ'
Ποιος οργανισμός ιδρύθηκε για τη διατήρηση της ειρήνης;,2,2,Κοινωνία των Εθνών,ΟΗΕ,ΝΑΤΟ,ΕΕ
Ποια χώρα παρέμεινε ουδέτερη;,2,2,Ελβετία,Γαλλία,Σερβία,Αυστρία
Ποια μάχη έγινε κυρίως στη θάλασσα το 1916;,3,2,Γιουτλάνδη,Σομμ,Βερντέν,Καλλίπολη
Ποιος ήταν ο Γερμανός αυτοκράτορας;,3,2,Γουλιέλμος Β',Φραγκίσκος Ιωσήφ,Γεώργιος Ε',Νικόλαος Β'
Ποια χώρα υπέγραψε τη Συνθήκη του Μπρεστ-Λιτόφσκ;,3,2,Ρωσία,Γαλλία,Ιταλία,Σερβία
Ποιο γεγονός οδήγησε στην έξοδο της Ρωσίας από τον πόλεμο;,3,2,Ρωσική Επανάσταση,Κρίση του Σουέζ,Μεγάλη Ύφεση,Πόλεμος της Κορέας
Ποια περιοχή αποτέλεσε κύρια εστία συγκρούσεων μεταξύ Γαλλίας και Γερμανίας;,3,2,Αλσατία-Λωρραίνη,Κριμαία,Βαλτική,Σικελία
Τι ήταν η Ανακωχή της 11ης Νοεμβρίου 1918;,3,2,Τερματισμός των εχθροπραξιών,Έναρξη του πολέμου,Συνθήκη συμμαχίας,Κήρυξη πολέμου
Ποιος ήταν ο βασικός αντίπαλος της Σερβίας το 1914;,3,2,Αυστροουγγαρία,Ιταλία,ΗΠΑ,Ολλανδία
Ποια χώρα προσχώρησε στις Κεντρικές Δυνάμεις το 1914;,3,2,Οθωμανική Αυτοκρατορία,Ελλάδα,Ρουμανία,Πορτογαλία
Ποια ήταν η κύρια αιτία των μεγάλων απωλειών στα χαρακώματα;,3,2,Στασιμότητα και πολυβόλα,Έλλειψη αλόγων,Πυρηνικά,Δορυφόροι
Ποια μάχη συνδέεται με την αποτυχημένη εκστρατεία στην Καλλίπολη;,3,2,Καλλίπολη,Βερντέν,Σομμ,Ιπρ
Ποια χώρα μπήκε στην Αντάντ το 1915;,3,2,Ιταλία,Βουλγαρία,Οθωμανική Αυτοκρατορία,Ισπανία
Ποια ήταν η ημερομηνία της ανακωχής;,3,2,11 Νοεμβρίου 1918,28 Ιουνίου 1914,1 Σεπτεμβρίου 1939,28 Ιουνίου 1919
Ποια πανδημία συνέπεσε με το τέλος του πολέμου;,3,2,Ισπανική γρίπη,COVID-19,Μαύρος Θάνατος,Χολέρα
