Question,Category,Difficulty,Correct,Wrong1,Wrong2,Wrong3
Πόση είναι η απόσταση του μαραθωνίου;,1,2,26.2 μίλια,26 μίλια,27 μίλια,26.6 μίλια
Ποια είναι τα χρώματα των δαχτυλιδιών στους Ολυμπιακούς Αγώνες;,1,3,"Μπλε, Κόκκινο, Κίτρινο, Πράσινο, και Μαύρο","Μπλε, Κόκκινο, Κίτρινο, Πράσινο, και Βιολετί","Ινδικό, Κόκκινο, Μωβ, Πράσινο, και Μαύρο","Μπλε, Κόκκινο, Κίτρινο, Πορτοκαλί, και Πράσινο"
Πόσα πρωταθλήματα έχει με τους Chicago Bulls ο Michael Jordan;,1,2,6,7,5,8
Ο Manny Pacquiao είναι ένας θρυλικός μποξέρ από ποια χώρα;,1,2,Φιλιππίνες,Κορέα,Ταυλάνδη,Κίνα
Πόσοι πόντοι είναι μια βολή στο μπάσκετ;,1,1,1,2,3,4
Ποιος κατέχει το ρεκόρ για τα περισσότερα Grand Slam τίτλους τένις στην κατηγορία ανδρών;,1,2,Novak Djokovic,Roger Federer,Rafael Nadal,Pete Sampras
Ποιος είναι γνωστός ως ο “Γρηγορότερος Άνθρωπος στη Γη” για τις απίστευτες δυνατότητες σπριντ του;,1,2,Usain Bolt,Carl Lewis,Jesse Owens,Michael Johnson
Κάθε πόσα χρόνια πραγματοποιούνται Ολυμπιακοί Αγώνες,1,1,4,1,2,3
Πόσοι παίκτες υπάρχουν σε μια ομάδα σε έναν μέσο αγώνα μπέιζμπολ;,1,3,9,8,10,11
Πώς λέγεται όταν ένας ποδοσφαιριστής σκοράρει τρία γκολ σε έναν αγώνα;,1,2,Hat-trick,Triple score,Three-peat,Goal frenzy
