Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Ποιο είναι το μεγαλύτερο νησί στον κόσμο;,1,4,Γροιλανδία,Μαδαγασκάρη,Βόρνεο,Νέα Γουινέα
Ποια είναι η πρωτεύουσα της Ισπανίας;,3,4,Μαδρίτη,Βαρκελώνη,Σεβίλλη,Βαλένθια
Ποια είναι η ψηλότερη κορυφή στην Αφρική;,2,4,Κιλιμάντζαρο,Κένυα,Άτλας,Ρουενζόρι
Ποιο ποτάμι διασχίζει το Παρίσι;,2,4,Σηκουάνας,Τάμεσης,Ρήνος,Δούναβης
Σε ποια ήπειρο βρίσκεται η έρημος Γκόμπι;,2,4,Ασία,Αφρική,Αυστραλία,Νότια Αμερική
Ποια χώρα έχει το μεγαλύτερο πληθυσμό;,2,4,Κίνα,Ινδία,ΗΠΑ,Ρωσία
Ποιο είναι το μεγαλύτερο βουνό στην Ευρώπη;,3,4,Λευκό Όρος,Άλπεις,Όλυμπος,Μόντε Ρόζα
Ποια είναι η πρωτεύουσα της Νορβηγίας;,3,4,Όσλο,Στοκχόλμη,Κοπεγχάγη,Ελσίνκι
Ποιο είναι το μεγαλύτερο νησί της Μεσογείου;,1,4,Σικελία,Κύπρος,Σαρδηνία,Κρήτη
Ποιο ποτάμι είναι το μεγαλύτερο στην Αίγυπτο;,1,4,Νείλος,Κονγκό,Ζαμβέζης,Τίγρης
Ποια είναι η πρωτεύουσα της Βραζιλίας;,1,4,Μπραζίλια,Ρίο ντε Τζανέιρο,Σάο Πάολο,Σαλβαντόρ
Ποια είναι η μεγαλύτερη χώρα της Νότιας Αμερικής;,1,4,Βραζιλία,Αργεντινή,Περού,Χιλή
Ποιο είναι το πιο πυκνοκατοικημένο νησί στον κόσμο;,2,4,Ιάβα,Μανχάταν,Σικελία,Κρήτη
Ποια είναι η μεγαλύτερη λίμνη του κόσμου;,3,4,Κασπία Θάλασσα,Βαϊκάλη,Μίσιγκαν,Αράλη
Ποια χώρα έχει σχήμα μποτας;,3,4,Ιταλία,Ισπανία,Γαλλία,Κροατία
Ποια είναι η πρωτεύουσα της Σουηδίας;,1,4,Στοκχόλμη,Γκέτεμποργκ,Μάλμε,Όσλο
Ποιο βουνό βρίσκεται μεταξύ Νεπάλ και Κίνας;,2,4,Έβερεστ,Άνναπουρνα,Κ2,Μακαλού
Ποια είναι η πρωτεύουσα της Ιαπωνίας;,1,4,Τόκιο,Οσάκα,Κιότο,Χιροσίμα
Ποιο είναι το μεγαλύτερο νησί της Ιαπωνίας;,2,4,Χονσού,Χοκάιντο,Κιούσου,Σικόκου
Ποιο ποτάμι διασχίζει το Λονδίνο;,3,4,Τάμεσης,Σηκουάνας,Ρήνος,Δούναβης
Ποια χώρα έχει τη μεγαλύτερη έκταση στην Αφρική;,3,4,Αλγερία,Νιγηρία,Αίγυπτος,Σουδάν
Ποια είναι η πρωτεύουσα της Καναδά;,3,4,Οττάβα,Τορόντο,Βανκούβερ,Μόντρεαλ
Ποια χώρα είναι γνωστή ως η «χώρα των χιλίων λιμνών»;,3,4,Φινλανδία,Νορβηγία,Καναδάς,Σουηδία
Ποιο είναι το μεγαλύτερο ποτάμι στην Κίνα;,3,4,Γιανγκτσέ,Κίτρινος Ποταμός,Μεκονγκ,Περλ Ρίβερ
Ποια είναι η πρωτεύουσα της Ελβετίας;,1,4,Βέρνη,Ζυρίχη,Γενεύη,Βασιλεία
Ποια χώρα είναι γνωστή για τις Άλπεις;,3,4,Ελβετία,Αυστρία,Γαλλία,Ιταλία
Ποια είναι η πρωτεύουσα της Πολωνίας;,3,4,Βαρσοβία,Κρακοβία,Λοτζ,Γκντανσκ
Ποια είναι η μεγαλύτερη πόλη της Τουρκίας;,3,4,Κωνσταντινούπολη,Άγκυρα,Σμύρνη,Αττάλεια
Ποια είναι η πρωτεύουσα της Πορτογαλίας;,2,4,Λισαβόνα,Πόρτο,Μπράγκα,Φάρο
Ποια είναι η πρωτεύουσα της Ολλανδίας;,1,4,Άμστερνταμ,Ρότερνταμ,Χάγη,Ουτρέχτη
Ποιο είναι το μεγαλύτερο νησί της Καραϊβικής;,1,4,Κούβα,Ιαμαϊκή,Αϊτή,Πουέρτο Ρίκο
Ποια χώρα έχει πρωτεύουσα το Νέο Δελχί;,2,4,Ινδία,Πακιστάν,Μπανγκλαντές,Νεπάλ
Ποιο είναι το πιο βόρειο σημείο της Γης;,2,4,Βόρειος Πόλος,Νότιος Πόλος,Ισημερινός,Αρκτική Θάλασσα
Ποια χώρα είναι γνωστή για τα κανάλια της Βενετίας;,1,4,Ιταλία,Ολλανδία,Γαλλία,Ισπανία
Ποια είναι η πρωτεύουσα της Γερμανίας;,2,4,Βερολίνο,Μόναχο,Φρανκφούρτη,Αμβούργο
Ποιο είναι το υψηλότερο βουνό στη Νότια Αμερική;,2,4,Ακονκάγκουα,Άνδεις,Τιτιλάκα,Χουάινα Ποτοσί
Ποια είναι η μεγαλύτερη λίμνη στην Αφρική;,2,4,Βικτώρια,Τανγκανίκα,Μαλάουι,Τσαντ
Ποιο είναι το μεγαλύτερο αρχιπέλαγος στον κόσμο;,1,4,Ινδονησία,Φιλιππίνες,Μαλαισία,Ιαπωνία
Ποια χώρα έχει τις Πυραμίδες της Γκίζας;,3,4,Αίγυπτος,Σουδάν,Μαρόκο,Ιορδανία
Ποια είναι η πρωτεύουσα της Νέας Ζηλανδίας;,2,4,Ουέλλινγκτον,Όκλαντ,Κράιστσερτς,Ντάνεντιν
Ποια είναι η μεγαλύτερη ήπειρος;,3,4,Ασία,Αφρική,Αμερική,Ευρώπη
Ποια είναι η μικρότερη ήπειρος;,3,4,Ωκεανία,Ανταρκτική,Ευρώπη,Νότια Αμερική
Ποιο είναι το μεγαλύτερο εσωτερικό θάλασσο στη Γη;,1,4,Κασπία Θάλασσα,Μαύρη Θάλασσα,Αράλη,Βαϊκάλη
Ποια χώρα είναι γνωστή ως το «νησί του πάγου και της φωτιάς»;,2,4,Ισλανδία,Νορβηγία,Γροιλανδία,Καναδάς
Ποιο ποτάμι είναι γνωστό ως το «Μητέρα της Ρωσίας»;,1,4,Βόλγας,Δνείπερος,Ομπ,Λένα
Ποια είναι η πρωτεύουσα της Ουγγαρίας;,3,4,Βουδαπέστη,Πράγα,Βιέννη,Βουκουρέστι
Ποιο είναι το μεγαλύτερο νησί της Ελλάδας;,3,4,Κρήτη,Εύβοια,Ρόδος,Κέρκυρα
Ποια είναι η πρωτεύουσα της Αργεντινής;,1,4,Μπουένος Άιρες,Κόρδοβα,Ροζάριο,Μεντόζα
Ποιο είναι το μακρύτερο ποτάμι της Ευρώπης;,2,4,Βόλγας,Δούναβης,Ρήνος,Σηκουάνας
Ποιο είναι το μεγαλύτερο βουνό της Ελλάδας;,2,4,Όλυμπος,Πάρνηθα,Πίνδος,Τύμφη
Ποια χώρα είναι γνωστή για το Τείχος της;,3,4,Κίνα,Ινδία,Ιαπωνία,Κορέα
Ποια είναι η πρωτεύουσα του Μεξικού;,1,4,Πόλη του Μεξικού,Γουαδαλαχάρα,Μοντερέι,Κανκούν
Ποια χώρα είναι γνωστή για τη Σφίγγα;,3,4,Αίγυπτος,Ιορδανία,Συρία,Ιράκ
Ποια χώρα είναι γνωστή για τη Μεγάλη Βαρίερα Ύφαλο;,3,4,Αυστραλία,Νέα Ζηλανδία,Ινδονησία,Φιλιππίνες
Ποιο είναι το μεγαλύτερο νησί της Καναδά;,1,4,Μπάφιν,Βικτώρια,Νιούφαουντλαντ,Βανκούβερ
Ποια χώρα έχει τη Σαχάρα;,1,4,Αλγερία,Αίγυπτος,Μαρόκο,Σουδάν
Ποιο είναι το μεγαλύτερο ποτάμι των ΗΠΑ;,3,4,Μισισιπής,Μισούρι,Κολοράντο,Οχάιο
Ποια χώρα έχει τις Άνδεις;,3,4,Χιλή,Αργεντινή,Περού,Βολιβία
Ποια είναι η πρωτεύουσα της Νότιας Αφρικής;,1,4,Πρετόρια,Κέιπ Τάουν,Γιοχάνεσμπουργκ,Ντέρμπαν
Ποια χώρα περιβάλλει πλήρως το Σαν Μαρίνο;,3,4,Ιταλία,Γαλλία,Ελβετία,Αυστρία
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,3,4,Ευρώπη,Αμερική,Ωκεανία,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,1,4,Ευρώπη,Ασία,Ανταρκτική,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Ωκεανία,Αμερική,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Αργεντινή;,2,4,Νότια Αμερική,Ωκεανία,Ανταρκτική,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,2,4,Αφρική,Αμερική,Ευρώπη,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,3,4,Ευρώπη,Αμερική,Αφρική,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Ινδία;,2,4,Ασία,Ωκεανία,Ευρώπη,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Γαλλία;,2,4,Ευρώπη,Ανταρκτική,Αφρική,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Αυστραλία;,3,4,Ωκεανία,Ανταρκτική,Αφρική,Ασία
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,1,4,Αφρική,Ευρώπη,Ωκεανία,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Ινδία;,2,4,Ασία,Ανταρκτική,Αφρική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,1,4,Αφρική,Ευρώπη,Αμερική,Ασία
Σε ποια ήπειρο βρίσκεται η χώρα Αργεντινή;,3,4,Νότια Αμερική,Ευρώπη,Ασία,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,3,4,Αφρική,Ευρώπη,Αμερική,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Βραζιλία;,3,4,Νότια Αμερική,Ασία,Αφρική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Ωκεανία,Αφρική,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Αργεντινή;,2,4,Νότια Αμερική,Ευρώπη,Ωκεανία,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Αυστραλία;,1,4,Ωκεανία,Ανταρκτική,Αφρική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Ινδία;,2,4,Ασία,Ευρώπη,Αμερική,Ωκεανία
Σε ποια ήπειρο βρίσκεται η χώρα Ινδία;,3,4,Ασία,Ανταρκτική,Ευρώπη,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Αφρική,Αμερική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,1,4,Αφρική,Ωκεανία,Ευρώπη,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Γαλλία;,3,4,Ευρώπη,Αμερική,Αφρική,Ασία
Σε ποια ήπειρο βρίσκεται η χώρα Αργεντινή;,1,4,Νότια Αμερική,Αφρική,Αμερική,Ωκεανία
Σε ποια ήπειρο βρίσκεται η χώρα Ινδία;,1,4,Ασία,Ανταρκτική,Αμερική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Αυστραλία;,1,4,Ωκεανία,Ανταρκτική,Ευρώπη,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,3,4,Ευρώπη,Ανταρκτική,Αφρική,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Γαλλία;,1,4,Ευρώπη,Αφρική,Αμερική,Ωκεανία
Σε ποια ήπειρο βρίσκεται η χώρα Βραζιλία;,2,4,Νότια Αμερική,Αφρική,Ασία,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,3,4,Ασία,Ευρώπη,Αμερική,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Αίγυπτος;,2,4,Αφρική,Αμερική,Ασία,Ανταρκτική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,3,4,Ασία,Ευρώπη,Αμερική,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Ανταρκτική,Αμερική,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Αφρική,Ωκεανία,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,3,4,Ασία,Ευρώπη,Ωκεανία,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Κίνα;,2,4,Ασία,Ωκεανία,Ευρώπη,Αφρική
Σε ποια ήπειρο βρίσκεται η χώρα Αυστραλία;,1,4,Ωκεανία,Αμερική,Ασία,Ευρώπη
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,3,4,Ευρώπη,Ωκεανία,Ασία,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Βραζιλία;,3,4,Νότια Αμερική,Ευρώπη,Αφρική,Αμερική
Σε ποια ήπειρο βρίσκεται η χώρα Ισπανία;,2,4,Ευρώπη,Ωκεανία,Αφρική,Ανταρκτική
