Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Ποιος σκηνοθέτησε την ταινία «Πολίτικη Κουζίνα»;,3,3,Τάσος Μπουλμέτης,Παντελής Βούλγαρης,Γιάννης Σμαραγδής,Νίκος Περάκης
Ποια ηθοποιός έπαιξε τη «Στέλλα» στην ομώνυμη ταινία του 1955;,2,3,Μελίνα Μερκούρη,Τζένη Καρέζη,Αλεξάνδρα Λαδικού,Μάρθα Καραγιάννη
Σε ποια ταινία εμφανίζεται ο χαρακτήρας «Ζήκος»;,1,3,Της Κακομοίρας,Ο Ηλίας του 16ου,Λόλα,Καλώς Ήρθε το Δολάριο
Ποιος σκηνοθέτησε την ταινία «Ο Θίασος»;,3,3,Θόδωρος Αγγελόπουλος,Νίκος Κούνδουρος,Κώστας Γαβράς,Κώστας Φέρρης
Ποια ταινία έκανε το τραγούδι «Τα παιδιά του Πειραιά» διεθνώς γνωστό;,1,3,Ποτέ την Κυριακή,Στέλλα,Ο Ζορμπάς,Η Αλίκη στο Ναυτικό
Ποια ηθοποιός πρωταγωνίστησε στο «Η Νεράιδα και το Παλικάρι»;,1,3,Αλίκη Βουγιουκλάκη,Ρένα Βλαχοπούλου,Νόρα Βαλσάμη,Κατερίνα Γώγου
Ποιος έγραψε τη μουσική για τον «Ζορμπά»;,2,3,Μίκης Θεοδωράκης,Μάνος Χατζιδάκις,Σταύρος Ξαρχάκος,Νίκος Μαμαγκάκης
Ποια είναι η πρώτη ελληνική ταινία με ήχο;,3,3,Απάχηδες των Αθηνών,Η Φωνή της Καρδιάς,Η Κάλπικη Λίρα,Μανταλένα
Ποιοι σκηνοθέτησαν το «Safe Sex» (1999);,2,3,Μιχάλης Ρέππας & Θανάσης Παπαθανασίου,Αλέξης Καρδαράς,Αντώνης Καφετζόπουλος,Νίκος Παναγιωτόπουλος
Ποια ταινία του Αγγελόπουλου κέρδισε Χρυσό Φοίνικα στις Κάννες;,3,3,Μια αιωνιότητα και μια μέρα,Το λιβάδι που δακρύζει,Μέρες του ’36,Το μετέωρο βήμα του πελαργού
Ποιος ηθοποιός έπαιξε τον «Ηλία του 16ου»;,1,3,Κώστας Χατζηχρήστος,Θανάσης Βέγγος,Λάμπρος Κωνσταντάρας,Διονύσης Παπαγιαννόπουλος
Ποια ταινία σκηνοθέτησε ο Παντελής Βούλγαρης με θέμα τον εμφύλιο;,2,3,Ψυχή Βαθιά,Το Τελευταίο Σημείωμα,Ευδοκία,Κορίτσια στον Ήλιο
Ποιος σκηνοθέτησε το «Λούφα και Παραλλαγή»;,2,3,Νίκος Περάκης,Ροβήρος Μανθούλης,Νίκος Νικολαΐδης,Δήμος Αβδελιώδης
Ποια ταινία έφερε σε επαφή το ελληνικό κοινό με το new wave κινηματογράφο το 1980;,3,3,Έξοδος Κινδύνου,Γλυκιά Συμμορία,Δεσποινίς Διευθυντής,Η Θεία από το Σικάγο
Ποιος ηθοποιός είναι γνωστός για τον ρόλο του «Θανάση» σε πολλές ταινίες;,3,3,Θανάσης Βέγγος,Σωτήρης Μουστάκας,Βασίλης Αυλωνίτης,Μίμης Φωτόπουλος
Ποια ελληνική ταινία ήταν υποψήφια για Όσκαρ ξενόγλωσσης ταινίας το 2011;,3,3,Κυνόδοντας,Ο Θίασος,Το Μετέωρο Βήμα του Πελαργού,Μικρά Αγγλία
Ποιος σκηνοθέτησε τη «Μικρά Αγγλία»;,3,3,Παντελής Βούλγαρης,Φίλιππος Τσίτος,Θόδωρος Αγγελόπουλος,Χρήστος Δήμας
Ποια ταινία θεωρείται η πρώτη μεγάλη εμπορική επιτυχία της Φίνος Φιλμ;,2,3,Υπολοχαγός Νατάσα,Η Βίλλα των Οργίων,Η Αρχόντισσα και ο Αλήτης,Το Ξύλο Βγήκε από τον Παράδεισο
Ποια ταινία θεωρείται η πρώτη έγχρωμη της Φίνος Φιλμ;,3,3,Η Αλίκη στο Ναυτικό,Το Αμαξάκι,Η Καφετζού,Κάτι Να Καίει
Ποιος ηθοποιός έπαιξε τον «Φάνη» στο «Τανγκό των Χριστουγέννων»;,2,3,Αντίνοος Αλμπάνης,Χρήστος Λούλης,Γιώργος Καραμίχος,Θοδωρής Αθερίδης
Ποια ταινία διαδραματίζεται σχεδόν εξ ολοκλήρου σε κουρείο;,3,3,Ενα ασύλληπτο κορόιδο,Ο Ηλίας του 16ου,Ο Παπατρέχας,Τα Κίτρινα Γάντια
Ποια ηθοποιός έπαιξε τη «Λόλα» στην ομώνυμη ταινία του Ντίνου Δημόπουλου;,2,3,Τζένη Καρέζη,Ξένια Καλογεροπούλου,Νόρα Βαλσάμη,Κατερίνα Χέλμη
Ποιος σκηνοθέτησε το «Ευτυχία» (2019);,2,3,Άγγελος Φραντζής,Τάσος Μπουλμέτης,Γιώργος Λάνθιμος,Αλέξης Καρδαράς
Ποια ταινία βασίζεται στη ζωή της Ευτυχίας Παπαγιαννοπούλου;,1,3,Ευτυχία,Τελευταίο Σημείωμα,Αυτή η Νύχτα Μένει,Όλα είναι Δρόμος
Ποια ήταν η τελευταία ταινία του Θανάση Βέγγου;,3,3,Τι Έκανες στον Πόλεμο  Θανάση,Ράβδος εν Γωνία,Θα Σε Κάνω Βασίλισσα,Βίος και Πολιτεία
Ποιος σκηνοθέτησε τον «Κυνόδοντα»;,1,3,Γιώργος Λάνθιμος,Αργύρης Παπαδημητρόπουλος,Σύλλας Τζουμέρκας,Βασίλης Κατσουρίδης
Ποια ταινία θεωρείται η πρώτη ελληνική με θέμα ζόμπι;,3,3,Το Κακό,Κατάχρησις Εξουσίας,Το Καθαρτήριο,Το Κτήνος
Ποια από τις παρακάτω ΔΕΝ είναι ταινία του Γιάννη Δαλιανίδη;,1,3,Το Προξενιό της Άννας,Κορίτσια για Φίλημα,Νόμος 4000,Μερικοί το Προτιμούν Κρύο
